week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
1	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5897)	p1	j	0	false	A	A	2
1	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5672)	p1	j	0	false	A	A	2
2	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6014)	p1	j	0	false	A	A	2
2	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5791)	p1	j	0	false	A	A	2
3	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6131)	p1	j	0	false	A	A	2
3	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5908)	p1	j	0	false	A	A	2
4	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6245)	p1	j	0	false	A	A	2
4	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6027)	p1	j	0	false	A	A	2
5	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6365)	p1	j	0	false	A	A	2
5	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6144)	p1	j	0	false	A	A	2
6	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6482)	p1	j	0	false	A	A	2
6	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6262)	p1	j	0	false	A	A	2
7	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6601)	p1	j	0	false	A	A	2
7	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6378)	p1	j	0	false	A	A	2
8	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6721)	p1	j	0	false	A	A	2
8	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6495)	p1	j	0	false	A	A	2
9	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6838)	p1	j	0	false	A	A	2
9	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6612)	p1	j	0	false	A	A	2
10	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6955)	p1	j	0	false	A	A	2
10	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6729)	p1	j	0	false	A	A	2
11	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7077)	p1	a	0	false	A	A	2
11	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6848)	p1	a	0	false	A	A	2
12	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0118023,"veg"=>99.7077)	p1	a	0	false	A	A	2
12	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0119738,"veg"=>99.6848)	p1	a	0	false	A	A	2
13	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0234587,"veg"=>99.7077)	p1	a	0	false	A	A	2
13	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0235441,"veg"=>99.6848)	p1	a	0	false	A	A	2
14	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0353061,"veg"=>99.7077)	p1	a	0	false	A	A	2
14	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0353985,"veg"=>99.6848)	p1	a	0	false	A	A	2
15	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0470707,"veg"=>99.7077)	p1	a	0	false	A	A	2
15	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0471639,"veg"=>99.6848)	p1	a	0	false	A	A	2
16	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0589535,"veg"=>99.7077)	p1	a	0	false	A	A	2
16	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0588016,"veg"=>99.6848)	p1	a	0	false	A	A	2
17	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.000710281,"veg"=>99.7077)	p1	a	0	false	A	A	2
17	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.000553784,"veg"=>99.6848)	p1	a	0	false	A	A	2
17	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
17	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
18	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0124112,"veg"=>99.7077)	p1	a	0	false	A	A	2
18	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.012392,"veg"=>99.6848)	p1	a	0	false	A	A	2
18	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
18	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
19	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.024144,"veg"=>99.7077)	p1	a	0	false	A	A	2
19	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0241509,"veg"=>99.6848)	p1	a	0	false	A	A	2
19	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
19	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	0	false	A	A	2
